road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-127,Jarau - Parandakan,Jl. Jarau - Parandakan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-128,Mungkur Galah - Lokpaikat,Mungkur Galah - Lokpaikat,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-128,Mungkur Galah - Lokpaikat,Jl. Mungkur Galah - Lokpaikat,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-129,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-130,Batang Kulur Kanan - Batang Kulur Kiri,Batang Kulur Kanan - Batang Kulur Kiri,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-131,Manggis - Ds. Baru,Jl. Manggis - Ds. Baru,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-131,Manggis - Ds. Baru,Jl. Manggis,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-132,TPA - Ds. Sungai Raya Selatan,Jl. TPA - Ds. Sungai Raya Selatan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-132,TPA - Ds. Sungai Raya Selatan,Jl. TPA Sungai Raya Selatan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-133,Pembangunan - Ds. Sungai Raya Utara,Jl. Pembangunan - Ds. Sungai Raya Utara,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-134,Kalaka Dayuh - Ds. Sungai Raya Utara,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-135,Teluk Pinang - Padang Rasau,Teluk Pinang - Padang Rasau,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-136,Tanayung - Simp. Ambarai,Tanayung - Simp. Ambarai,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-136,Tanayung - Simp. Ambarai,Tanayung - Simpang Ambarai,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-137,Tabihi - Telaga Langsat,Tabihi - Telaga Langsat,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-138,Karang Jawa -Ambarai - Sungai Bungur,Karang Jawa -Ambarai - Sungai Bungur,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-138,Karang Jawa -Ambarai - Sungai Bungur,Karang Jawa - Ambarai - Sungai Bungur,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-139,Ambarai - Madang,Ambarai - Madang,dashboard_2025,IMPORT_SEARCH_ONLY
