road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-032,hss-county-032,032,23,032,exact_normalized,Jl. Amawang Kanan - Wasah Hulu,2,Amawang Kanan; Wasah Hulu,2,Kandangan; Simpur
HSS-KAB-033,hss-county-033,033,24,033,exact_normalized,Jl. DI. Panjaitan - Loklua,2,Baluti; Tibung Raya,1,Kandangan
HSS-KAB-034,hss-county-034,034,0,034,exact_normalized,Jl. Jend. Sudirman,2,Hamalau; Tibung Raya,2,Kandangan; Sungai Raya
HSS-KAB-035,hss-county-035,035,40,035,exact_normalized,Jl. AES. Nasution,1,Baluti,1,Kandangan
HSS-KAB-036,hss-county-036,036,45,036,exact_normalized,Tembok Lama - Loklua,1,Jambu Hilir,1,Kandangan
HSS-KAB-037,hss-county-037,037,46,037,treatment_engine_alias,Jl. Kesehatan - Komp. Rumah Dokter,2,Baluti; Tibung Raya,1,Kandangan
HSS-KAB-038,hss-county-038,038,51,038,exact_normalized,Jl. Samping Bappeda - Mesjid Darul Halik,1,Tibung Raya,1,Kandangan
HSS-KAB-039,hss-county-039,039,62,039,exact_normalized,Jl. Bina Bakat,1,Tibung Raya,1,Kandangan
HSS-KAB-040,hss-county-040,040,25,,unresolved,Baluti - Jambu Hulu/Paku,3,Baluti; Jambu Hilir; Jambu Hulu,2,Kandangan; Padang Batung
HSS-KAB-041,hss-county-041,041,26,041,exact_normalized,SP.3 Baluti - Amawang,2,Amawang Kanan; Tibung Raya,1,Kandangan
HSS-KAB-042,hss-county-042,042,28,,unresolved,Sei. Kupang Utara - SP.4 Lungau,2,Lungau; Sungai Kupang,1,Kandangan
HSS-KAB-043,hss-county-043,043,36,,unresolved,SP.4 Lungau - Bangkau,2,Bangkau; Lungau,1,Kandangan
HSS-KAB-044,hss-county-044,044,37,,unresolved,Sp.4 Lungau - Garis,2,Bangkau; Lungau,1,Kandangan
HSS-KAB-045,hss-county-045,045,337,045,exact_normalized,Gambir -SP. Empat Lungau,2,Amawang Kiri; Lungau,1,Kandangan
HSS-KAB-046,hss-county-046,046,29,046,exact_normalized,Bariang - Getek,3,Amawang Kiri; Amawang Kiri Muka; Bariang,1,Kandangan
